condition,mse_queue,mean_sigma2_r,retention_rate
clear,3.1008465454055614,3.7997395135111223,1.0
rain,2.686780069073736,3.960640213353389,1.1541125308684363
night,5.073378312635011,6.143410061760656,0.6111995507378285
radar_multipath,3.226453171322806,3.946009145361615,0.961069750823085
